additional cost,cost unit,higher price,additional price,price unit,supplier,category,product
1.0,RON,5.0,1.0,RON,CANDYP LTD CO,Casti,
3.0,RON,100.0,2.0,RON,All,All,
2.0,RON,10.0,2.0,RON,CANDYP LTD CO,Consumabile,
1.0,RON,10.0,3.0,RON,CANDYP LTD CO,Microfoane,
1.0,RON,3.0,3.0,RON,CANDYP LTD CO,Mufe incarcare,
10.0,RON,5.0,1.0,RON,CANDYP LTD CO,Suport SIM,
1.5,RON,5.0,2.0,RON,CANDYP LTD CO,Geam Camera,
1.0,RON,5.0,1.0,RON,CANDYP LTD CO,Filtru Polarizare,
