sku,categories,name,supplier,supplier price,bank exchange rate,supplier price ron,local c.,thenx c,vat,all cost price,last all cost,margin whole, margin retail,whole price,retail price,last retail price & date,smart price,cheap comp
4381,Surubelnite si Instrumente,"Opening Tool, Clips Blue",CANDYP LTD CO,RON 0.28,0.0,0.28,1.0,2.0,1.19,3.9,0.0,0.0,0.0,6.0,6.0 - 2021-01-25,,
4663,Mufe incarcare,BlackBerry Curve 9360,CANDYP LTD CO,RON 0.55,0.0,0.55,1.0,3.0,1.19,5.41,0.0,0.0,0.0,155.0,155.0 - 2021-01-25,,
4727,LCD,"Nokia X2-05, X2-02",CANDYP LTD CO,RON 7.44,0.0,7.44,1.0,2.0,1.19,12.42,0.0,0.0,0.0,112.0,112.0 - 2021-01-25,9.95,
5382,LCD,"Samsung Galaxy Mini 2 S6500, S6500D",CANDYP LTD CO,RON 10.41,0.0,10.41,1.0,2.0,1.19,15.96,0.0,0.0,0.0,17.0,17.0 - 2021-01-25,4.95,
5045,Acumulatori,"Samsung i9070 Galaxy S Advance, EB535151VU",UNISON GB,RON 15.71,0.0,15.71,1.0,2.0,1.19,22.26,0.0,0.0,0.0,34.0,34.0 - 2021-01-25,,
5499,Cititor SIM,Samsung S5230,CANDYP LTD CO,RON 1.97,0.0,1.97,1.0,2.0,1.19,5.92,0.0,0.0,0.0,156.0,156.0 - 2021-01-25,0.95,
5582,Flex On/Off,"Sony Xperia S, LT26i",CANDYP LTD CO,RON 4.96,0.0,4.96,1.0,2.0,1.19,9.47,0.0,0.0,0.0,109.0,109.0 - 2021-01-25,4.95,
5628,Flex Cable,Samsung G600,CANDYP LTD CO,RON 7.2,0.0,7.2,1.0,2.0,1.19,12.14,0.0,0.0,0.0,112.0,112.0 - 2021-01-25,4.95,
5618,Mufe incarcare,"Nokia E7, E7-00",CANDYP LTD CO,RON 0.55,0.0,0.55,1.0,3.0,1.19,5.41,0.0,0.0,0.0,155.0,155.0 - 2021-01-25,,
5681,Touchscreen,HTC Desire C,CANDYP LTD CO,RON 7.32,0.0,7.32,1.0,2.0,1.19,12.28,0.0,0.0,0.0,132.0,132.0 - 2021-01-25,4.95,
5844,Touchscreen,LG E900 Optimus 7,CANDYP LTD CO,RON 44.8,0.0,44.8,1.0,2.0,1.19,56.88,0.0,0.0,0.0,177.0,177.0 - 2021-01-25,39.95,
5990,Mufe incarcare,"HTC One S, One X",CANDYP LTD CO,RON 0.98,0.0,0.98,1.0,3.0,1.19,5.92,0.0,0.0,0.0,156.0,156.0 - 2021-01-25,1.95,
6061,Antene,"Nokia 6500c, SWAP",CANDYP LTD CO,RON 2.56,0.0,2.56,1.0,2.0,1.19,6.62,0.0,150.0,0.0,157.0,150.0 - 2021-01-18,4.95,
